Layer,Similarity,Cosine Similarity
00.input_layernorm,100.0,1.0000001192092896
00.mlp.down_proj,0.25289739881243023,0.9948505163192749
00.mlp.gate_proj,0.2050859587533133,0.9918762445449829
00.mlp.up_proj,0.19949334008353098,0.9923049211502075
00.post_attention_layernorm,100.0,1.0
00.self_attn.k_proj,0.2050638198852539,0.9968528747558594
00.self_attn.o_proj,0.10777115821838379,0.9805768728256226
00.self_attn.q_proj,0.2146601676940918,0.9971238970756531
00.self_attn.v_proj,0.13744831085205078,0.9910775423049927
01.input_layernorm,100.0,0.9999999403953552
01.mlp.down_proj,0.33691440309797016,0.9962475299835205
01.mlp.gate_proj,0.203512396131243,0.9931700229644775
01.mlp.up_proj,0.19738503864833284,0.9929543733596802
01.post_attention_layernorm,100.0,1.0
01.self_attn.k_proj,0.29723644256591797,0.9982840418815613
01.self_attn.o_proj,0.12135505676269531,0.9820395708084106
01.self_attn.q_proj,0.2354264259338379,0.9967623949050903
01.self_attn.v_proj,0.14543533325195312,0.9914426803588867
02.input_layernorm,100.0,1.0000001192092896
02.mlp.down_proj,0.2522792134966169,0.9950279593467712
02.mlp.gate_proj,0.20525455474853516,0.9929264783859253
02.mlp.up_proj,0.19960403442382812,0.9928157925605774
02.post_attention_layernorm,100.0,1.0
02.self_attn.k_proj,0.2856254577636719,0.9969629645347595
02.self_attn.o_proj,0.11228322982788086,0.9781020879745483
02.self_attn.q_proj,0.22850632667541504,0.9947091341018677
02.self_attn.v_proj,0.13456344604492188,0.9855313301086426
03.input_layernorm,100.0,1.0
03.mlp.down_proj,0.26147535869053434,0.9956218004226685
03.mlp.gate_proj,0.21281923566545757,0.9934626221656799
03.mlp.up_proj,0.20602260317121235,0.993035078048706
03.post_attention_layernorm,100.0,1.0000001192092896
03.self_attn.k_proj,0.3352642059326172,0.997819185256958
03.self_attn.o_proj,0.12474656105041504,0.9823421239852905
03.self_attn.q_proj,0.2429664134979248,0.9956175684928894
03.self_attn.v_proj,0.15170574188232422,0.9884784817695618
04.input_layernorm,100.0,1.0
04.mlp.down_proj,0.2686211041041783,0.9957597255706787
04.mlp.gate_proj,0.21097660064697266,0.993340253829956
04.mlp.up_proj,0.20892960684640066,0.9933139681816101
04.post_attention_layernorm,100.0,1.0
04.self_attn.k_proj,0.2474069595336914,0.9957665205001831
04.self_attn.o_proj,0.12465715408325195,0.982914924621582
04.self_attn.q_proj,0.19611716270446777,0.9929936528205872
04.self_attn.v_proj,0.14967918395996094,0.9876052141189575
05.input_layernorm,100.0,1.0
05.mlp.down_proj,0.27269295283726286,0.995676577091217
05.mlp.gate_proj,0.21564790180751253,0.993024468421936
05.mlp.up_proj,0.2091254506792341,0.9934889674186707
05.post_attention_layernorm,100.0,0.9999998807907104
05.self_attn.k_proj,0.2588033676147461,0.996269941329956
05.self_attn.o_proj,0.13116002082824707,0.9839252829551697
05.self_attn.q_proj,0.20177960395812988,0.9935932159423828
05.self_attn.v_proj,0.14238357543945312,0.9863383769989014
06.input_layernorm,100.0,1.0
06.mlp.down_proj,0.28097459248134066,0.9959769248962402
06.mlp.gate_proj,0.22058146340506418,0.9936879873275757
06.mlp.up_proj,0.21766253880092074,0.9940986633300781
06.post_attention_layernorm,100.0,0.9999999403953552
06.self_attn.k_proj,0.273895263671875,0.99668949842453
06.self_attn.o_proj,0.1338362693786621,0.984879732131958
06.self_attn.q_proj,0.2010345458984375,0.9936606884002686
06.self_attn.v_proj,0.1421213150024414,0.9865200519561768
07.input_layernorm,100.0,1.0
07.mlp.down_proj,0.2900668552943638,0.9963061809539795
07.mlp.gate_proj,0.22357872554234098,0.9939486980438232
07.mlp.up_proj,0.22374221256801058,0.9943670034408569
07.post_attention_layernorm,100.0,1.0000001192092896
07.self_attn.k_proj,0.2536296844482422,0.9962251782417297
07.self_attn.o_proj,0.14394521713256836,0.9875084757804871
07.self_attn.q_proj,0.1965045928955078,0.9932234287261963
07.self_attn.v_proj,0.15134811401367188,0.988563597202301
08.input_layernorm,100.0,1.0
08.mlp.down_proj,0.2966233662196568,0.9964713454246521
08.mlp.gate_proj,0.22570746285574778,0.9939717650413513
08.mlp.up_proj,0.22636651992797852,0.9945405125617981
08.post_attention_layernorm,100.0,1.0
08.self_attn.k_proj,0.2392292022705078,0.9955397248268127
08.self_attn.o_proj,0.14583468437194824,0.9876054525375366
08.self_attn.q_proj,0.1980125904083252,0.993245542049408
08.self_attn.v_proj,0.14994144439697266,0.9886267781257629
09.input_layernorm,100.0,1.0
09.mlp.down_proj,0.2965518406459263,0.9966415762901306
09.mlp.gate_proj,0.21924802235194613,0.9938178062438965
09.mlp.up_proj,0.23273229598999023,0.9947168231010437
09.post_attention_layernorm,100.0,1.0
09.self_attn.k_proj,0.2308368682861328,0.9953129291534424
09.self_attn.o_proj,0.14857053756713867,0.9881041646003723
09.self_attn.q_proj,0.18389225006103516,0.9921307563781738
09.self_attn.v_proj,0.14743804931640625,0.9874469041824341
10.input_layernorm,100.0,1.0
10.mlp.down_proj,0.2993243081229074,0.9967206120491028
10.mlp.gate_proj,0.22827046258108957,0.9939190149307251
10.mlp.up_proj,0.23547751562935965,0.9947943091392517
10.post_attention_layernorm,100.0,1.0000001192092896
10.self_attn.k_proj,0.2629280090332031,0.9962594509124756
10.self_attn.o_proj,0.15423893928527832,0.9888843894004822
10.self_attn.q_proj,0.2020120620727539,0.9936378598213196
10.self_attn.v_proj,0.14789104461669922,0.9881191253662109
11.input_layernorm,100.0,1.0
11.mlp.down_proj,0.31119074140276226,0.9969494938850403
